serie,site,zone,TipoDeArea,transect,latitud,estacion,year,profundidad (m),temperatura celsius,hora_num_util,familia,especie,grupo_funcional,grupo_trofico,forrajeo_hr,PF_hr,estado,,,,,,
GH019767,Pisagua,Norte,AMERB,1,-19.56843,fall ,2021,14,16,0.437216667,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,1.143597759,0.328678773,COMPLETO,,,,,,
GH019767,Pisagua,Norte,AMERB,1,-19.56843,fall ,2021,14,16,0.437216667,Blenidae,Scartichthys viridis,Herbivore and Detritivore,Herbivoro,1.143597759,0.011826364,COMPLETO,,,,,,
GH019767,Pisagua,Norte,AMERB,1,-19.56843,fall ,2021,14,16,0.437216667,Blenidae,Scartichthys viridis,Herbivore and Detritivore,Herbivoro,1.143597759,0.011826364,COMPLETO,,,,,,
GH019767,Pisagua,Norte,AMERB,1,-19.56843,fall ,2021,14,16,0.437216667,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,1.143597759,0.117386963,COMPLETO,,,,,,
GH029768,Pisagua,Norte,AMERB,3,-19.56843,fall ,2021,13,16,0.348883333,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,1.43314384,0.049389696,COMPLETO,,,,,,
GH029768,Pisagua,Norte,AMERB,3,-19.56843,fall ,2021,13,16,0.348883333,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,1.43314384,0.049389696,COMPLETO,,,,,,
GH029768,Pisagua,Norte,AMERB,3,-19.56843,fall ,2021,13,16,0.348883333,NaN,NaN,NaN,Herbivoro,0,0,COMPLETO,,,,,,
GP019620,Pisagua,Norte,AMERB,4,-19.56843,fall ,2021,14.6,15.1,0.668333333,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,1.496259352,0.430036421,COMPLETO,,,,,,
GP019620,Pisagua,Norte,AMERB,4,-19.56843,fall ,2021,14.6,15.1,0.668333333,Blenidae,Scartichthys viridis,Herbivore and Detritivore,Herbivoro,0.748129676,0.025691234,COMPLETO,,,,,,
GH010082,Pisagua,Norte,AMERB,5,-19.56843,fall ,2021,13.6,13.8,0.391933333,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,1.275727164,0.664168195,COMPLETO,,,,,,
GH010082,Pisagua,Norte,AMERB,5,-19.56843,fall ,2021,13.6,13.8,0.391933333,Blenidae,Scartichthys gigas ,Herbivore and Detritivore,Herbivoro,2.551454329,0.073905021,COMPLETO,,,,,,
GH010082,Pisagua,Norte,AMERB,5,-19.56843,fall ,2021,13.6,13.8,0.391933333,Blenidae,Scartichthys gigas ,Herbivore and Detritivore,Herbivoro,1.275727164,0.036952511,COMPLETO,,,,,,
GH010082,Pisagua,Norte,AMERB,5,-19.56843,fall ,2021,13.6,13.8,0.391933333,Blenidae,Scartichthys gigas ,Herbivore and Detritivore,Herbivoro,2.551454329,0.128174405,COMPLETO,,,,,,
GH010082,Pisagua,Norte,AMERB,5,-19.56843,fall ,2021,13.6,13.8,0.391933333,Pinguipedidae,Pinguipes chilensis,General Carnivore ,Carnivoro,2.551454329,0.938731888,COMPLETO,,,,,,
GH010082,Pisagua,Norte,AMERB,5,-19.56843,fall ,2021,13.6,13.8,0.391933333,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,14.03299881,4.033191559,COMPLETO,,,,,,
GH010082,Pisagua,Norte,AMERB,5,-19.56843,fall ,2021,13.6,13.8,0.391933333,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,1.275727164,0.366653778,COMPLETO,,,,,,
GH010082,Pisagua,Norte,AMERB,5,-19.56843,fall ,2021,13.6,13.8,0.391933333,Pinguipedidae,Pinguipes chilensis,General Carnivore ,Carnivoro,2.551454329,2.157374126,COMPLETO,,,,,,
GH019769,Pisagua,Norte,AMERB,6,-19.56843,fall ,2021,13.4,15,0.392216667,Blenidae,Scartichthys viridis,Herbivore and Detritivore,Herbivoro,3.824416776,0.039549697,COMPLETO,,,,,,
GH019769,Pisagua,Norte,AMERB,6,-19.56843,fall ,2021,13.4,15,0.392216667,NaN,NaN,NaN,Carnivoro,0,0,COMPLETO,,,,,,
GH019771,Pisagua,Norte,AMERB,7,-19.56843,fall ,2021,12.4,15,0.720833333,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,4.855491329,2.762333969,COMPLETO,,,,,,
GH019771,Pisagua,Norte,AMERB,7,-19.56843,fall ,2021,12.4,15,0.720833333,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,2.080924855,0.422812297,COMPLETO,,,,,,
GH019771,Pisagua,Norte,AMERB,7,-19.56843,fall ,2021,12.4,15,0.720833333,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,2.080924855,0.598073774,COMPLETO,,,,,,
GH019771,Pisagua,Norte,AMERB,7,-19.56843,fall ,2021,12.4,15,0.720833333,NaN,NaN,NaN,Herbivoro,0,0,COMPLETO,,,,,,
T1-ChA-IFOP(02-11-20),Chañaral de Aceituno,Norte Centro,ALA,1,-29.071608,Spring,2020,14.9,14,0.461933333,Blenidae,Scartichthys viridis,Herbivore and Detritivore,Herbivoro,6.494443643,0.067161425,INCOMPLETO,,,,,,
T1-ChA-IFOP(02-11-20),Chañaral de Aceituno,Norte Centro,ALA,1,-29.071608,Spring,2020,14.9,14,0.461933333,NaN,NaN,NaN,Carnivoro,0,0,INCOMPLETO,,,,,,
T3-ChA-IFOP(02-11-20),Chañaral de Aceituno,Norte Centro,ALA,3,-29.071608,Spring,2020,16.3,13,0.330266667,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,1.513928139,0.435114566,INCOMPLETO,,,,,,
T3-ChA-IFOP(02-11-20),Chañaral de Aceituno,Norte Centro,ALA,3,-29.071608,Spring,2020,16.3,13,0.330266667,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,28.76463464,8.26717676,INCOMPLETO,,,,,,
T3-ChA-IFOP(02-11-20),Chañaral de Aceituno,Norte Centro,ALA,3,-29.071608,Spring,2020,16.3,13,0.330266667,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,1.513928139,0.435114566,INCOMPLETO,,,,,,
T3-ChA-IFOP(02-11-20),Chañaral de Aceituno,Norte Centro,ALA,3,-29.071608,Spring,2020,16.3,13,0.330266667,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,3.027856278,0.870229133,INCOMPLETO,,,,,,
T3-ChA-IFOP(02-11-20),Chañaral de Aceituno,Norte Centro,ALA,3,-29.071608,Spring,2020,16.3,13,0.330266667,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,1.513928139,0.435114566,INCOMPLETO,,,,,,
T3-ChA-IFOP(02-11-20),Chañaral de Aceituno,Norte Centro,ALA,3,-29.071608,Spring,2020,16.3,13,0.330266667,NaN,NaN,NaN,Herbivoro,0,0,INCOMPLETO,,,,,,
T4-ChA-IFOP(03-11-20),Chañaral de Aceituno ,Norte Centro,AMCP,4,-29.071608,Spring,2020,13.9,13,0.633883333,Sebastidae ,Sebastes oculatus ,General Carnivore ,Carnivoro,0.788788684,0.174913837,INCOMPLETO,,,,,,
T4-ChA-IFOP(03-11-20),Chañaral de Aceituno ,Norte Centro,AMCP,4,-29.071608,Spring,2020,13.9,13,0.633883333,Blenidae,Scartichthys viridis,Herbivore and Detritivore,Herbivoro,1.577577367,0.016314306,INCOMPLETO,,,,,,
T4-ChA-IFOP(03-11-20),Chañaral de Aceituno ,Norte Centro,AMCP,4,-29.071608,Spring,2020,13.9,13,0.633883333,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,0.788788684,0.226703921,INCOMPLETO,,,,,,
T6-ChA-IFOP(03-11-20),Chañaral de Aceituno,Norte Centro,AMCP,6,-29.071608,Spring,2020,17.1,13,0.854433333,Pinguipedidae,Pinguipes chilensis,General Carnivore ,Carnivoro,0.585183162,0.215300775,INCOMPLETO,,,,,,
T6-ChA-IFOP(03-11-20),Chañaral de Aceituno,Norte Centro,AMCP,6,-29.071608,Spring,2020,17.1,13,0.854433333,Pinguipedidae,Pinguipes chilensis,General Carnivore ,Carnivoro,0.585183162,0.215300775,INCOMPLETO,,,,,,
T6-ChA-IFOP(03-11-20),Chañaral de Aceituno,Norte Centro,AMCP,6,-29.071608,Spring,2020,17.1,13,0.854433333,Blenidae,Scartichthys viridis,Herbivore and Detritivore,Herbivoro,0.585183162,0.02009555,INCOMPLETO,,,,,,
T6-ChA-IFOP(03-11-20),Chañaral de Aceituno,Norte Centro,AMCP,6,-29.071608,Spring,2020,17.1,13,0.854433333,Pomacentridae,Chromis crusma,Planktivore,Planctivoro,0.585183162,0.004390202,INCOMPLETO,,,,,,
T6-ChA-IFOP(03-11-20),Chañaral de Aceituno,Norte Centro,AMCP,6,-29.071608,Spring,2020,17.1,13,0.854433333,Blenidae,Scartichthys viridis,Herbivore and Detritivore,Herbivoro,0.585183162,0.02009555,INCOMPLETO,,,,,,
T6-ChA-IFOP(03-11-20),Chañaral de Aceituno,Norte Centro,AMCP,6,-29.071608,Spring,2020,17.1,13,0.854433333,Blenidae,Scartichthys viridis,Herbivore and Detritivore,Herbivoro,1.170366325,0.0401911,INCOMPLETO,,,,,,
T7-ALA-ChA-(04-11-20),Chañaral de Aceituno,Norte Centro,ALA,7,-29.071608,Spring,2020,15,13,0.350833333,NaN,NaN,NaN,Carnivoro,0,0,INCOMPLETO,,,,,,
T7-ALA-ChA-(04-11-20),Chañaral de Aceituno,Norte Centro,ALA,7,-29.071608,Spring,2020,15,13,0.350833333,NaN,NaN,NaN,Herbivoro,0,0,INCOMPLETO,,,,,,
GOPR91418,Chañaral de Aceituno,Norte Centro,AMCP,5,-29.071608,Spring,2020,14,14,0.327216667,NaN,NaN,NaN,Carnivoro,0,0,INCOMPLETO,,,,,,
GOPR91418,Chañaral de Aceituno,Norte Centro,AMCP,5,-29.071608,Spring,2020,14,14,0.327216667,NaN,NaN,NaN,Herbivoro,0,0,INCOMPLETO,,,,,,
T5-ChA-IFOP(07-11-2020),Chañaral de Aceituno,Norte Centro,AMERB,5,-29.071608,Spring,2020,14.2,13,0.258333333,NaN,NaN,NaN,Carnivoro,0,0,INCOMPLETO,,,,,,
T5-ChA-IFOP(07-11-2020),Chañaral de Aceituno,Norte Centro,AMERB,5,-29.071608,Spring,2020,14.2,13,0.258333333,NaN,NaN,NaN,Herbivoro,0,0,INCOMPLETO,,,,,,
T10-ChA-IFOP(07-11-2020),Chañaral de Aceituno,Norte Centro,AMERB,10,-29.071608,Spring,2020,16,13,0.220266667,NaN,NaN,NaN,Carnivoro,0,0,INCOMPLETO,,,,,,
T10-ChA-IFOP(07-11-2020),Chañaral de Aceituno,Norte Centro,AMERB,10,-29.071608,Spring,2020,16,13,0.220266667,NaN,NaN,NaN,Herbivoro,0,0,INCOMPLETO,,,,,,
